epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,14719.1,0.60367,0.30081,0.8809,0.99901,1,0.995,0.82718,0.68259,0.25452,0.89175,0.0002774,0.0002774,0.0002774
89,14885.1,0.58043,0.29462,0.87077,0.99903,1,0.995,0.82395,0.67091,0.25265,0.89144,0.0002576,0.0002576,0.0002576
90,15052.3,0.59817,0.29393,0.88551,0.99901,1,0.995,0.8225,0.66805,0.25283,0.88894,0.0002378,0.0002378,0.0002378
91,15217.8,0.54728,0.25578,0.85706,0.99862,1,0.995,0.82957,0.64303,0.25423,0.87943,0.000218,0.000218,0.000218
92,15382.5,0.549,0.25323,0.85708,0.99867,1,0.995,0.83959,0.64851,0.26602,0.88618,0.0001982,0.0001982,0.0001982
93,15547.9,0.54772,0.25061,0.85711,0.99878,1,0.995,0.84585,0.63246,0.26086,0.883,0.0001784,0.0001784,0.0001784
94,15712.2,0.53351,0.24532,0.85515,0.99894,1,0.995,0.83767,0.64309,0.25509,0.88189,0.0001586,0.0001586,0.0001586
95,15876.8,0.52923,0.24371,0.86156,0.99897,1,0.995,0.84614,0.64156,0.25812,0.88046,0.0001388,0.0001388,0.0001388
96,16042.1,0.52404,0.24286,0.85405,0.99897,1,0.995,0.83406,0.66506,0.26535,0.88415,0.000119,0.000119,0.000119
97,16207.4,0.52405,0.23608,0.85096,0.99894,1,0.995,0.82923,0.66139,0.25664,0.88393,9.92e-05,9.92e-05,9.92e-05
98,16370.8,0.51908,0.23799,0.84279,0.99891,1,0.995,0.84648,0.63369,0.24971,0.88148,7.94e-05,7.94e-05,7.94e-05
99,16535.3,0.51917,0.23502,0.85384,0.99887,1,0.995,0.83965,0.65153,0.25127,0.8851,5.96e-05,5.96e-05,5.96e-05
100,16699.2,0.52199,0.23895,0.85111,0.99888,1,0.995,0.84521,0.63328,0.24604,0.88058,3.98e-05,3.98e-05,3.98e-05
